Puesto,Empresa,Detalles,Enlace
Senior It Data Analyst,Randstad ES,18/03/2026 Actualizada |  | Barcelona | Analista,https://www.tecnoempleo.com/senior-it-data-analyst-randstad-es/sap-hana/rf-a979184872c3f333ff4b
Senior Data Scientist (MLOps),EY,17/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/senior-data-scientist-mlops-ey/databricks-python/rf-f478111b82359368934e
Senior Data Engineer (Teletrabajo),Grupo Digital,16/03/2026 |  | 100% remoto | Big Data,https://www.tecnoempleo.com/senior-data-engineer-teletrabajo-grupo-digital/etl-big-data/rf-d46d1604f26e13a26a41
Data Scientist,Krell Consulting & Training,12/03/2026 |  | Madrid (Híbrido) | Big Data,https://www.tecnoempleo.com/data-scientist-krell-consulting-training/machine-learning/rf-62801708925eb35fb24d
Data Scientist,HAYS,11/03/2026 |  | 100% remoto | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/data-scientist-hays/python-spark/rf-ce1e11c6221803ba624a
Senior Data Engineer (Python/Spark),GFR Technologies SE,10/03/2026 |  | Madrid (Híbrido) | Analista,https://www.tecnoempleo.com/senior-data-engineer-python-spark-gfr-technologies/pyspark-big-data/rf-ef2e15a8e238834fc845
Data Scientist Python (Teletrabajo),PSS,09/03/2026 |  | Madrid | Big Data | 42.000€ - 45.000€ b/a,https://www.tecnoempleo.com/data-scientist-python-teletrabajo-pss/databricks-machine-learning/rf-4fb31e4952bf43bb2841
Global Head of Data Intelligence,Michael Page,09/03/2026 |  | Madrid | Big Data | 60.000€ - 76.000€ b/a,https://www.tecnoempleo.com/global-head-of-data-intelligence-michael-page/bi-mlops/rf-768012f122ed931e3142
Global Head of Data Intelligence,Page Personnel,04/03/2026 |  | Madrid | Big Data | 60.000€ - 76.000€ b/a,https://www.tecnoempleo.com/global-head-of-data-intelligence-page-personnel/bi/rf-1ebc10bfe231a31a6b42
Analista Programador/Data Scientist/BI,Invoin,27/02/2026 |  | Madrid (Híbrido) | Analista Programador,https://www.tecnoempleo.com/analista-programador-data-scientist-bi-hibrido/nodejs-javascript-react-htm/rf-67431d3912e3b39a5c40
Engineer DATA,Krell Consulting & Training,25/02/2026 |  | 100% remoto | Big Data | Contrato temporal,https://www.tecnoempleo.com/engineer-data-krell-consulting-training/azure-synapse/rf-3fa7139d12bd33d43f45
Senior Data Scientist Credit Modelling,BNP Paribas,20/02/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/senior-data-scientist-credit-modelling-bnp-paribas/data/rf-1a211708d29ec373c649
Data Architect,GFR Technologies SE,21/01/2026 |  | Madrid | Arquitecto TIC,https://www.tecnoempleo.com/data-architect-gfr-technologies-se/etl/rf-7d7a1e17021543e14c4f
Data Engineer - EY GDS Spain,EY,11/12/2025 |  | Málaga (Híbrido) | Big Data,https://www.tecnoempleo.com/data-engineer-ey-gds-spain-ey/databricks-datafactory/rf-58441ccca220433a7449
Senior Data Scientist Credit Modelling,BNP Paribas,14/11/2025 |  | Madrid (Híbrido) | Big Data,https://www.tecnoempleo.com/senior-data-scientist-credit-modelling-bnp-paribas/data/rf-f9e8186fd2854351874a
Senior Data Scientist,Plexus,16/07/2025 |  | Madrid | Big Data,https://www.tecnoempleo.com/senior-data-scientist-plexus/python-aws/rf-3fe3110d025ff3c9fd48
Data Engineers - Talent Community,BASF,04/07/2025 |  | Madrid | Big Data,https://www.tecnoempleo.com/data-engineers-talent-community-basf/python-sql/rf-f5f71e8912699308d04d
Senior Data Engineer,EY,04/04/2025 |  | Málaga | Big Data,https://www.tecnoempleo.com/senior-data-engineer-ey/sql-databricks-synapse-spark-hadoop/rf-b82f1f66a2bfa3931949
Data & AI Strategy Consultant,Accenture,27/03/2025 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-ai-strategy-consultant-barcelona/data/rf-af1b130d12455346384e
Data Scientist con Conocimientos en MLOps,Krell Consulting & Training,08/11/2024 |  | Sevilla (Híbrido) y otras | Big Data,https://www.tecnoempleo.com/data-scientist-con-conocimientos-en-mlops-hibrido/python-r-data-mlops/rf-8d52145a12662316ba4f
SSR Java Springboot Developer,Talan,18/03/2026 Actualizada |  | Málaga | Programador,https://www.tecnoempleo.com/ssr-java-springboot-developer-talan/spring-boot-api/rf-75ca155752ab63e7b546
Senior AI Engineer,EPAM,16/03/2026 |  | Madrid | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ai-engineer-epam/python-llm/rf-e84f1e25129f63b2de4a
Lead AI Engineer,GFR Technologies SE,13/03/2026 |  | Madrid | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/lead-ai-engineer-gfr-technologies-se/python-generative-ai/rf-c0fc1194e2c103c2a247
Líder trazabilidad y calidad datos,Cajamar Tecnología,09/03/2026 |  | Almería (Híbrido) y otras | Big Data,https://www.tecnoempleo.com/lider-trazabilidad-calidad-datos-cajamar-tecnologi/azure-sql/rf-5cfb10bf5228e3ff1741
Global Intelligence Lead,Michael Page,26/02/2026 |  | España | Analista,https://www.tecnoempleo.com/global-intelligence-lead-michael-page/data-mlops/rf-791a105c92639306e549
"Data Engineer I, Ring Data Science and Engineering",Amazon,18/03/2026 Nueva |  | Madrid | Big Data,https://www.tecnoempleo.com/data-engineer-i-ring-data-science-and-engineering-/python-kornshell/rf-f1ce17da722e63c7074b
Data Scientist - Optimización,Baoss,18/03/2026 Actualizada |  | Barcelona y otras | Analista,https://www.tecnoempleo.com/data-scientist-optimizacion-baoss/python-pandas/rf-400213a3f26213b57849
Data Scientist,EY,18/03/2026 Actualizada |  | Málaga | Big Data,https://www.tecnoempleo.com/data-scientist-ey/python-tensorflow/rf-d4a91e8e928263cf7e41
Data Scientist,BNP Paribas,18/03/2026 Actualizada |  | Madrid (Híbrido) | Big Data,https://www.tecnoempleo.com/data-scientist-bnp-paribas/python-excel/rf-71341ebc8272e3679e42
Global Data Scientist,Nestle,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Analista,https://www.tecnoempleo.com/global-data-scientist-nestle/python-sql/rf-765f1d3f522df3414844
Senior Data engineer,Krell Consulting & Training,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Big Data,https://www.tecnoempleo.com/senior-data-engineer-krell-consulting-training/python-sql/rf-8db715d3320ab323304e
Beca Data Engineer,Randstad ES,18/03/2026 Actualizada |  | Madrid | Big Data | Contrato prácticas,https://www.tecnoempleo.com/beca-data-engineer-randstad-es/python-talend/rf-81e31bf5126293c4d248
"Data Scientist, Amazon Books",Amazon,18/03/2026 Actualizada |  | Madrid | Analista,https://www.tecnoempleo.com/data-scientist-amazon-books-amazon/machine-learning-sql/rf-72d016ab223193f0f446
Senior Data Scientist,EY,17/03/2026 |  | Madrid | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-data-scientist-ey/generative-ai-natural-language-processing/rf-8d531f1642046338ce49
Senior Data Analyst,Santander,17/03/2026 |  | Madrid | Analista,https://www.tecnoempleo.com/senior-data-analyst-santander/google-analytics-adobe-analytics/rf-4aa71136929223186343
Data Scientist / Artificial Intelligence,Airbus,17/03/2026 |  | Albacete | Analista Programador,https://www.tecnoempleo.com/data-scientist-artificial-intelligence-airbus/python-pandas/rf-24ef166522d1c32c2d40
Senior Palantir Data Engineer - Frontend,EPAM,16/03/2026 |  | 100% remoto | Big Data,https://www.tecnoempleo.com/senior-palantir-data-engineer-frontend-epam/python-typescript/rf-fe3e193ad2ee2389a847
Data Plaform Engineer,Prenomics,16/03/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-plaform-engineer-prenomics/amazon-redshift-devops/rf-91171be5f200e33d1041
