Puesto,Empresa,Detalles,Enlace
Desarrollador Back-End (Python),Talan,18/03/2026 Nueva |  | Málaga | Programador,https://www.tecnoempleo.com/desarrollador-back-end-python-talan/fastapi-aws/rf-a8671026f28d4348da42
Python Developer,GFR Technologies SE,18/03/2026 Actualizada |  | Madrid | Programador,https://www.tecnoempleo.com/python-developer-gfr-technologies-se/angular-api-rest/rf-ce09119c62cb63dec549
Desarrollador/a Back Python + Vue.js,GFR Technologies SE,18/03/2026 Actualizada |  | Madrid | Programador,https://www.tecnoempleo.com/desarrollador-back-python-vuejs-gfr-technologies-s/flask-vuejs/rf-d5ef1e0fb29623bb8946
Desarrollador Back-End (Python),Talan,18/03/2026 Actualizada |  | Alicante | Programador,https://www.tecnoempleo.com/desarrollador-back-end-python-talan/aws-lambda-sql/rf-d32f12b422d84346c249
Python Developer + Power BI knowledge,Talan,18/03/2026 Actualizada |  | Málaga | Analista,https://www.tecnoempleo.com/python-developer-power-bi-knowledge-talan/power-bi-numpy/rf-fdb51449e29c63274446
Senior Python Engineer - FastAPI,Serem,18/03/2026 Actualizada |  | Barcelona | Analista Programador | 33.000€ - 42.000€ b/a,https://www.tecnoempleo.com/senior-python-engineer-fastapi-serem/postgre-mongodb/rf-648b1b4672c4d38db043
Desarrollador Python y Go,Arelance,18/03/2026 Actualizada |  | 100% remoto | Analista Programador | 36.000€ - 39.000€ b/a,https://www.tecnoempleo.com/desarrollador-python-go-arelance/aws-docker/rf-1a3c132ea2c8b32e344e
Senior Python Developer IA / LLM,Krell Consulting & Training,18/03/2026 Actualizada |  | 100% remoto | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-python-developer-ia-llm-krell-consulting-tr/fastapi-flask/rf-4da61fa6f2c6c3d14f4c
"Especialista - Automatización, Python, PowerApps",Baoss,18/03/2026 Actualizada |  | Madrid y otras | Consultor,https://www.tecnoempleo.com/especialista-automatizacion-python-powerapps-baoss/automatizacion/rf-2c4a19f062d1530b3345
Ingeniero/a Software C / Python (Hibrido),Grupo Digital,18/03/2026 Actualizada |  | Málaga (Híbrido) | Programador,https://www.tecnoempleo.com/ingeniero-software-c-python-hibrido-grupo-digital/rtos-vxworks/rf-e9e81a37028503b0d741
Senior Python AI Engineer,Akkodis,18/03/2026 Actualizada |  | Madrid (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-python-ai-engineer-akkodis/fastapi-crewai/rf-f56e10d3a212e3d21843
Senior Python Engineer,Krell Consulting & Training,18/03/2026 Actualizada |  | Barcelona (Presencial) | Programador,https://www.tecnoempleo.com/senior-python-engineer-krell-consulting-training/fastapi-langchain/rf-74c6175a125fe38f5f49
Platform Engineer / DevOps (Python/Go & Linux),CDmon,17/03/2026 |  | Barcelona (Híbrido) y otras | DevOps | 30.000€ - 54.000€ b/a,https://www.tecnoempleo.com/platform-engineer-devops-python-go-linux-cdmon/openstack-proxmox/rf-b4f81ed1d2d953d26e43
Backend Developer Python,Deloitte,17/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/backend-developer-python-deloitte/flask-vue/rf-3ad01de5329b3314e84f
Backend Engineer Python,Michael Page,16/03/2026 |  | Valencia (Híbrido) | Programador,https://www.tecnoempleo.com/backend-engineer-python-michael-page/django-vue/rf-43c2187f82cbc3b51a4a
Python Developer + Power BI knowledge,Talan,16/03/2026 |  | Málaga (Híbrido) | Analista,https://www.tecnoempleo.com/python-developer-power-bi-knowledge-talan/power-bi-numpy/rf-7e6416a322cd93531248
"AI Developer (Python, Pyspark)",Arelance,13/03/2026 |  | Madrid (Híbrido) | Analista Programador | 30.000€ - 39.000€ b/a,https://www.tecnoempleo.com/ai-developer-python-pyspark-arelance/llm-aws/rf-6c6a1702324ee307de45
Desarrollador Junior Python/Pyspark/Scala,Second Window,13/03/2026 |  | 100% remoto | Big Data,https://www.tecnoempleo.com/desarrollador-junior-python-pyspark-scala-second-w/scala/rf-9e641a6f0279f345ae4d
Fullstack Developer (JavaScript/Python),HAYS,13/03/2026 |  | Lleida | Programador,https://www.tecnoempleo.com/fullstack-developer-javascript-python-hays/typescript-html/rf-74bb14ffa26463468548
Backend Developer Python FastAPI,Krell Consulting & Training,12/03/2026 |  | Murcia (Presencial) | Programador,https://www.tecnoempleo.com/backend-developer-python-fastapi-krell-consulting-/python/rf-294a1821027453555d43
Data Scientist / Python Developer,Julius Baer,12/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/data-scientist-python-developer-julius-baer/pandas-scikit-learn/rf-8f9e1e3ce2dcf3fe3f41
Desarrollador Python,Page Personnel,12/03/2026 |  | Madrid | Programador | 27.000€ - 33.000€ b/a,https://www.tecnoempleo.com/desarrollador-python-page-personnel/python/rf-8aea14bf9203b3241f41
Python Backend Developer (Django),HAYS,12/03/2026 |  | Barcelona (Híbrido) | Programador | 24.000€ - 33.000€ b/a,https://www.tecnoempleo.com/python-backend-developer-django-hays/apis-rest-postgresql/rf-229518dff28d93727b40
Python Developer,Page Personnel,12/03/2026 |  | Barcelona (Híbrido) | Programador,https://www.tecnoempleo.com/python-developer-page-personnel/flask-swagger/rf-ca901edb321763dad245
Ingeniero/a de Automatización Python,GMV,11/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/ingeniero-automatizacion-python-gmv/linux-ansible/rf-7beb1c41b292b3f89e49
Desarollador/a Python Django,Page Personnel,10/03/2026 |  | Madrid (Híbrido) | Programador | 30.000€ - 36.000€ b/a,https://www.tecnoempleo.com/desarollador-python-django-page-personnel/svelte-vue/rf-36c51065a29fd36fd645
Senior Data Engineer (Python/Spark),GFR Technologies SE,10/03/2026 |  | Madrid (Híbrido) | Analista,https://www.tecnoempleo.com/senior-data-engineer-python-spark-gfr-technologies/pyspark-big-data/rf-ef2e15a8e238834fc845
Data Scientist Python (Teletrabajo),PSS,09/03/2026 |  | Madrid | Big Data | 42.000€ - 45.000€ b/a,https://www.tecnoempleo.com/data-scientist-python-teletrabajo-pss/databricks-machine-learning/rf-4fb31e4952bf43bb2841
Senior Python Developer (GCP),GFR Technologies SE,06/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/senior-python-developer-gcp-gfr-technologies-se/google-cloud-platform/rf-f3431692223453d80444
Senior Python Software Engineer (Remoto),Grupo Digital,06/03/2026 |  | 100% remoto | Programador,https://www.tecnoempleo.com/senior-python-software-engineer-remoto-grupo-digit/fastapi-docker/rf-536a1dc242f4a3bc9948
Ingeniero/a Software de Python y C++,GMV,06/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/ingeniero-software-python-c-gmv/c/rf-e14c165202a313a51d43
Desarrollador/a Full Stack Python (IA),Michael Page,05/03/2026 |  | Madrid (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/desarrollador-full-stack-python-ia-michael-page/net/rf-bd2513b9b214a3f2104c
Senior Programmer Python,Krell Consulting & Training,26/02/2026 |  | Barcelona (Híbrido) | Programador | Contrato temporal,https://www.tecnoempleo.com/senior-programmer-python-krell-consulting-training/sql-aws/rf-dacd1369823e73a7d745
Data Scientist - Python y Fabric,Page Personnel,20/02/2026 |  | Madrid (Presencial) | Big Data,https://www.tecnoempleo.com/data-scientist-python-fabric-page-personnel/machine-learning/rf-da9c1dbc52cd73c3bd49
Ingeniero/a de datos Python-Pyspark,Quental,19/02/2026 |  | 100% remoto | Big Data | 21.000€ - 27.000€ b/a,https://www.tecnoempleo.com/ingeniero-datos-python-pyspark-quental/python/rf-58b31f5382769324b444
Desarrollador/a Python & JavaScript,Krell Consulting & Training,13/02/2026 |  | Madrid (Presencial) y otras | Programador,https://www.tecnoempleo.com/desarrollador-python-javascript-krell-consulting-t/javascript/rf-00cf18b8f284a38e4944
QA Tester con Python,Second Window,13/02/2026 |  | 100% remoto | Tester/QA | 36.000€ - 45.000€ b/a,https://www.tecnoempleo.com/qa-tester-con-python-second-window/pytest-playwright/rf-91391b0922652323ac4c
Python Programmer Analyst,Plexus,15/01/2026 |  | Madrid | Analista Programador,https://www.tecnoempleo.com/python-programmer-analyst-plexus/sql-server-oracle/rf-0c9e105b52ee8301534a
AWS Technical Lead with Python,Plexus,09/01/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/aws-technical-lead-with-python-plexus/aws/rf-7b931a7e5273130bc845
Ingeniero/a EGSE (LabVIEW Python),GMV,01/12/2025 |  | Madrid (Híbrido) | Electrónica,https://www.tecnoempleo.com/ingeniero-egse-labview-python-gmv/c-c/rf-be0f1a72127793447543
Python AI / Google ADK,Plexus,08/10/2025 |  | Madrid | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/python-ai-google-adk-plexus/postgresql-google-adk/rf-95f1160af277d35a2441
Senior Python-Django Developers,Plexus,08/10/2025 |  | Madrid | Programador,https://www.tecnoempleo.com/senior-python-django-developers-plexus/typescript/rf-58621b4872fe03feba4e
Desarrollador/a Python,Sopra Steria,02/10/2025 |  | Madrid (Híbrido) | Programador,https://www.tecnoempleo.com/desarrollador-python-sopra-steria/pandas/rf-2477165ee25d43af6d4c
Programador Python y Pyspark,Grupo NS,14/08/2025 |  | Madrid (Híbrido) | Programador,https://www.tecnoempleo.com/programador-python-pyspark-grupo-ns/python-pyspark/rf-5cec164f72a913fd204b
Senior Python-Django Developers,Plexus,11/08/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/senior-python-django-developers-plexus/python/rf-322b1cc3b209a35e994c
Senior Python Programmers,Plexus,11/08/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/senior-python-programmers-plexus/tableau-sql/rf-09d914d9022a93cbcd43
Senior Python Developer - Integrations,Plexus,06/08/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/senior-python-developer-integrations-plexus/aws/rf-de45119eb2b323234d4d
Fullstack Python Developer,Plexus,06/08/2025 |  | Madrid | Programador,https://www.tecnoempleo.com/fullstack-python-developer-plexus/python/rf-e26f15c142d10345684d
Senior Python-Django Developers,Plexus,05/08/2025 |  | Madrid | Programador,https://www.tecnoempleo.com/senior-python-django-developers-plexus/python/rf-28a01ab1e2bb330bbe41
Python developer,Plexus,17/07/2025 |  | Madrid | Programador,https://www.tecnoempleo.com/python-developer-plexus/django/rf-71b61b82c2e2d39d064a
Python - Django programmer,Plexus,17/07/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/python-django-programmer-plexus/python/rf-240f1626421823dd704b
Python - Django programmer,Plexus,11/07/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/python-django-programmer-plexus/python/rf-4c281ab7229353a15e4f
Programador Backend Python GCP,Krell Consulting & Training,10/07/2025 |  | 100% remoto | Analista Programador,https://www.tecnoempleo.com/programador-backend-python-gcp-krell-consulting-tr/python-gcp-git-maven-je/rf-c5a41017b279834e7c4f
Senior Fullstack Python + React,Plexus,09/07/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/senior-fullstack-python-react-plexus/python/rf-7a421c819220030e4e4b
Python Developer,Plexus,04/07/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/python-developer-plexus/django/rf-a084107ff2902373544b
Senior Software Engineer Python,Bitpanda,27/06/2025 |  | Barcelona (Híbrido) | Programador,https://www.tecnoempleo.com/senior-software-engineer-python-bitpanda/api-nosql/rf-3b3f1878023453fd024c
FullStack Developer Python,Plexus,26/06/2025 |  | Madrid | Programador,https://www.tecnoempleo.com/fullstack-developer-python-plexus/python/rf-d23d1e11d26a3340d649
Python AWS Developer,Plexus,24/06/2025 |  | Madrid | Programador,https://www.tecnoempleo.com/python-aws-developer-plexus/python/rf-5178150af25413a5b54c
Python Developer with AWS,Plexus,19/06/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/python-developer-with-aws-plexus/lambdas/rf-736b13cd027683ad7347
Python Developer con AWS,Plexus,12/06/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/python-developer-con-aws-plexus/python/rf-402b133012dd33ff4a42
Python/AWS Developer,Plexus,11/06/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/python-aws-developer-plexus/python-aws/rf-d614168f322793b4654e
Developer Python/AWS,Plexus,03/06/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/developer-python-aws-plexus/python-aws/rf-ca8e105ba27613308d47
FullStack Developer Python,Plexus,30/05/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/fullstack-developer-python-plexus/react/rf-45f71be29288f32da449
Senior Developer (Tableau-SQL-Python),Plexus,21/05/2025 |  | Madrid | Programador,https://www.tecnoempleo.com/senior-developer-tableau-sql-python-plexus/tableau-sql-python/rf-eb7913cd1215830b714f
Programador/a Senior Python,sg tech,08/05/2025 |  | Madrid (Híbrido) y otras | Programador,https://www.tecnoempleo.com/programador-senior-python-sg-tech/python-mongodb/rf-c9971e8fb214732b0e47
Data Engineer (Python AWS)/Inglés,Krell Consulting & Training,02/05/2025 |  | Barcelona (Híbrido) y otras | Analista,https://www.tecnoempleo.com/data-engineer-python-aws-ingles-krell-consulting-t/python-aws/rf-755510a622d6032b8741
Developer Java / Python bajo UNIX,sg tech,02/05/2025 |  | Madrid (Híbrido) | Programador,https://www.tecnoempleo.com/developer-java-python-bajo-unix-sg-tech/java-python-unix/rf-7f46186ef2c753409e48
"Software Engineer, Python",Bitpanda,23/04/2025 |  | Barcelona (Híbrido) | Programador,https://www.tecnoempleo.com/software-engineer-python-bitpanda/python-postgresql/rf-e47c1a93822573024343
Python developer,sg tech,11/04/2025 |  | 100% remoto | Programador,https://www.tecnoempleo.com/python-developer-sg-tech/python-pandas-numpy/rf-e24e18d39205431cfa43
Data analyst SQL & Python,Accenture,04/04/2025 |  | Málaga | Big Data,https://www.tecnoempleo.com/data-analyst-sql-python-accenture/python-sql/rf-900216f6525733f43643
Desarrollador/a Python FREELANCE,CIVIR,07/03/2025 |  | Madrid | Programador | Contrato freelance/autónomo,https://www.tecnoempleo.com/desarrollador-python-freelance-civir/python-react/rf-b7c31da3f2142341a043
Desarrollador/a Python,Alcorce Telecomunicaciones,28/02/2025 |  | Madrid | Programador,https://www.tecnoempleo.com/desarrollador-python-madrid/python/rf-b0ab198e12a8a3f61041
Desarrollador/a Python,Krell Consulting & Training,12/11/2024 |  | Madrid | Analista Programador,https://www.tecnoempleo.com/desarrollador-python-madrid/python/rf-148a1666e2a7e370bc40
Programador/a .NET y Python,The Adecco Group,17/10/2024 |  | Asturias | Programador | Contrato temporal,https://www.tecnoempleo.com/programador-a-net-python-asturias/net-python/rf-c25bvd938r71291a14z9
Python Developer - 100% remoto,HAYS,09/09/2024 |  | 100% remoto | Programador | 36.000€ - 42.000€ b/a,https://www.tecnoempleo.com/python-developer-100-remoto-remoto/python-oop-unittest-apis/rf-157c1c76b2f1a3172642
"Fullstack Engineer - C#, Python, Angular",Kureos,14/08/2024 |  | Madrid (Híbrido) | Programador | 42.000€ - 54.000€ b/a,https://www.tecnoempleo.com/fullstack-engineer-c-python-angular-hibrido/c-python-javascript/rf-9d511826b2b033139549
DevSecOps Freelance or Interim - Remote,Michael Page,18/03/2026 Nueva |  | 100% remoto | DevOps,https://www.tecnoempleo.com/devsecops-freelance-or-interim-remote-michael-page/wiz-crossplane/rf-0a341c4ba24b737fe543
Technical Lead Cloud,Krell Consulting & Training,18/03/2026 Nueva |  | Barcelona (Presencial) | DevOps,https://www.tecnoempleo.com/technical-lead-cloud-krell-consulting-training/azure-aws/rf-599f1151a29723f94041
Senior LLM / ML Engineer,Krell Consulting & Training,18/03/2026 Nueva |  | Barcelona (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-llm-ml-engineer-krell-consulting-training/python-machine-learning/rf-d56b144662ee73afb648
Project Manager Tecnico AWS / Data,Krell Consulting & Training,18/03/2026 Nueva |  | Madrid (Híbrido) | Jefe de Proyecto,https://www.tecnoempleo.com/project-manager-tecnico-aws-data-krell-consulting-/python/rf-79c41f30822f0383a744
Data Engineer (f/m/d),Axpo Group,18/03/2026 Nueva |  | Madrid | Analista,https://www.tecnoempleo.com/data-engineer-f-m-d-axpo-group/databricks-python/rf-4e0616e7721973d08f4c
Senior Data Engineer / Data Architect (f/m/d),Axpo Group,18/03/2026 Nueva |  | Madrid | Analista Programador,https://www.tecnoempleo.com/senior-data-engineer-data-architect-f-m-d-axpo-gro/databricks-python/rf-23e018ab82a0c31f284b
Simulation Software Engineer specialized C++,Airbus,18/03/2026 Nueva |  | Madrid | Ingenieros/Industria,https://www.tecnoempleo.com/simulation-software-engineer-specialized-c-airbus/c-python/rf-50ac188ce2582385564e
